trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
5150278_19722,08:29:00,08:29:00,PF_B02_1,17,0,0,18.9530
5150281_19722,08:35:00,08:35:00,PF_B02_1,17,0,0,18.9530
5150283_19722,08:41:00,08:41:00,PF_B02_1,17,0,0,18.9530
5150286_19722,08:47:00,08:47:00,PF_B02_1,17,0,0,18.9530
5150282_19722,08:53:00,08:53:00,PF_B02_1,17,0,0,18.9530
5150280_19722,08:59:00,08:59:00,PF_B02_1,17,0,0,18.9530
5150296_19722,09:05:00,09:05:00,PF_B02_1,17,0,0,18.9530
5150287_19722,09:11:00,09:11:00,PF_B02_1,17,0,0,18.9530
5150292_19722,09:17:00,09:17:00,PF_B02_1,17,0,0,18.9530
5150305_19722,09:23:00,09:23:00,PF_B02_1,17,0,0,18.9530
5150307_19722,09:29:00,09:29:00,PF_B02_1,17,0,0,18.9530
5150294_19722,09:35:00,09:35:00,PF_B02_1,17,0,0,18.9530
5150302_19722,09:41:00,09:41:00,PF_B02_1,17,0,0,18.9530
5150301_19722,09:47:00,09:47:00,PF_B02_1,17,0,0,18.9530
5150295_19722,09:53:00,09:53:00,PF_B02_1,17,0,0,18.9530
5150293_19722,09:59:00,09:59:00,PF_B02_1,17,0,0,18.9530
5150304_19722,10:05:00,10:05:00,PF_B02_1,17,0,0,18.9530
5150230_19722,10:11:00,10:11:00,PF_B02_1,17,0,0,18.9530
5150221_19722,10:17:00,10:17:00,PF_B02_1,17,0,0,18.9530
5150228_19722,10:23:00,10:23:00,PF_B02_1,17,0,0,18.9530
5150224_19722,10:29:00,10:29:00,PF_B02_1,17,0,0,18.9530
5150231_19722,10:35:00,10:35:00,PF_B02_1,17,0,0,18.9530
5150235_19722,10:41:00,10:41:00,PF_B02_1,17,0,0,18.9530
5150223_19722,10:47:00,10:47:00,PF_B02_1,17,0,0,18.9530
5150232_19722,10:53:00,10:53:00,PF_B02_1,17,0,0,18.9530
5150222_19722,10:59:00,10:59:00,PF_B02_1,17,0,0,18.9530
5150218_19722,11:05:00,11:05:00,PF_B02_1,17,0,0,18.9530
5150255_19722,11:11:00,11:11:00,PF_B02_1,17,0,0,18.9530
5150253_19722,11:17:00,11:17:00,PF_B02_1,17,0,0,18.9530
5150240_19722,11:23:00,11:23:00,PF_B02_1,17,0,0,18.9530
5150246_19722,11:29:00,11:29:00,PF_B02_1,17,0,0,18.9530
5150250_19722,11:35:00,11:35:00,PF_B02_1,17,0,0,18.9530
5150257_19722,11:41:00,11:41:00,PF_B02_1,17,0,0,18.9530
